Seed,Team,Winner,Year
1,Gonzaga,1,2019
4,Florida St,0,2019
3,Texas Tech,1,2019
2,Michigan,0,2019
1,Virginia,1,2019
12,Oregon,0,2019
3,Purdue,1,2019
2,Tennessee,0,2019
1,North Carolina,0,2019
5,Auburn,1,2019
3,Houston,0,2019
2,Kentucky,1,2019
1,Duke,0,2019
2,Michigan St,1,2019
1,Gonzaga,0,2019
3,Texas Tech,1,2019
1,Virginia,1,2019
3,Purdue,0,2019
5,Auburn,1,2019
2,Kentucky,0,2019
2,Michigan St,0,2019
3,Texas Tech,1,2019
1,Virginia,1,2019
5,Auburn,0,2019
3,Texas Tech,0,2019
1,Virginia,1,2019
1,Virginia,,2019
1,Gonzaga,1,2021
16,Norfolk St,0,2021
8,Oklahoma,1,2021
9,Missouri,0,2021
5,Creighton,1,2021
12,Santa Barbara,0,2021
4,Virginia,0,2021
13,Ohio,1,2021
6,USC,1,2021
11,Drake,0,2021
3,Kansas,1,2021
14,E Washington,0,2021
7,Oregon,1,2021
10,VCU,0,2021
2,Iowa,1,2021
15,Grand Canyon,0,2021
1,Michigan,1,2021
16,Texas Southern,0,2021
8,LSU,1,2021
9,St Bonaventure,0,2021
5,Colorado,1,2021
12,Georgetown,0,2021
4,Florida St,1,2021
13,UNC Greensboro,0,2021
6,BYU,0,2021
11,UCLA,1,2021
3,Texas,0,2021
14,Abilene Chrstn,1,2021
7,UConn,0,2021
10,Maryland,1,2021
2,Alabama,1,2021
15,Iona,0,2021
1,Baylor,1,2021
16,Hartford,0,2021
8,North Carolina,0,2021
9,Wisconsin,1,2021
5,Villanova,1,2021
12,Winthrop,0,2021
4,Purdue,0,2021
13,North Texas,1,2021
6,Texas Tech,1,2021
11,Utah State,0,2021
3,Arkansas,1,2021
14,Colgate,0,2021
7,Florida,1,2021
10,Virginia Tech,0,2021
2,Ohio State,0,2021
15,Oral Roberts,1,2021
1,Illinois,1,2021
16,Drexel,0,2021
8,Loyola Chicago,1,2021
9,Georgia Tech,0,2021
5,Tennessee,0,2021
12,Oregon St,1,2021
4,Oklahoma St,1,2021
13,Liberty,0,2021
6,San Diego St,0,2021
11,Syracuse,1,2021
3,West Virginia,1,2021
14,Morehead St,0,2021
7,Clemson,0,2021
10,Rutgers,1,2021
2,Houston,1,2021
15,Cleveland St,0,2021
1,Gonzaga,1,2021
8,Oklahoma,0,2021
5,Creighton,1,2021
13,Ohio,0,2021
6,USC,1,2021
3,Kansas,0,2021
7,Oregon,1,2021
2,Iowa,0,2021
1,Michigan,1,2021
8,LSU,0,2021
5,Colorado,0,2021
4,Florida St,1,2021
11,UCLA,1,2021
14,Abilene Chrstn,0,2021
10,Maryland,0,2021
2,Alabama,1,2021
1,Baylor,1,2021
9,Wisconsin,0,2021
5,Villanova,1,2021
13,North Texas,0,2021
6,Texas Tech,0,2021
3,Arkansas,1,2021
7,Florida,0,2021
15,Oral Roberts,1,2021
1,Illinois,0,2021
8,Loyola Chicago,1,2021
12,Oregon St,1,2021
4,Oklahoma St,0,2021
11,Syracuse,1,2021
3,West Virginia,0,2021
10,Rutgers,0,2021
2,Houston,1,2021
1,Gonzaga,1,2021
5,Creighton,0,2021
6,USC,1,2021
7,Oregon,0,2021
1,Michigan,1,2021
4,Florida St,0,2021
11,UCLA,1,2021
2,Alabama,0,2021
1,Baylor,1,2021
5,Villanova,0,2021
3,Arkansas,1,2021
15,Oral Roberts,0,2021
8,Loyola Chicago,0,2021
12,Oregon St,1,2021
11,Syracuse,0,2021
2,Houston,1,2021
1,Gonzaga,1,2021
6,USC,0,2021
1,Michigan,0,2021
11,UCLA,1,2021
1,Baylor,1,2021
3,Arkansas,0,2021
12,Oregon St,0,2021
2,Houston,1,2021
1,Gonzaga,1,2021
11,UCLA,0,2021
1,Baylor,1,2021
2,Houston,0,2021
1,Gonzaga,0,2021
1,Baylor,1,2021
1,Baylor,,2021
1,Gonzaga,1,2022
16,Georgia St,0,2022
8,Boise St,0,2022
9,Memphis,1,2022
5,UConn,0,2022
12,New Mexico St,1,2022
4,Arkansas,1,2022
13,Vermont,0,2022
6,Alabama,0,2022
11,Notre Dame,1,2022
3,Texas Tech,1,2022
14,Montana St,0,2022
7,Michigan St,1,2022
10,Davidson,0,2022
2,Duke,1,2022
15,Fullerton,0,2022
1,Baylor,1,2022
16,Norfolk St,0,2022
8,North Carolina,1,2022
9,Marquette,0,2022
5,Saint Mary's,1,2022
12,Indiana,0,2022
4,UCLA,1,2022
13,Akron,0,2022
6,Texas,1,2022
11,Virginia Tech,0,2022
3,Purdue,1,2022
14,Yale,0,2022
7,Murray St,1,2022
10,San Francisco,0,2022
2,Kentucky,0,2022
15,Saint Peter's,1,2022
1,Arizona,1,2022
16,Wright St,0,2022
8,Seton Hall,0,2022
9,TCU,1,2022
5,Houston,1,2022
12,UAB,0,2022
4,Illinois,1,2022
13,Chattanooga,0,2022
6,Colorado St,0,2022
11,Michigan,1,2022
3,Tennessee,1,2022
14,Longwood,0,2022
7,Ohio State,1,2022
10,Loyola Chicago,0,2022
2,Villanova,1,2022
15,Delaware,0,2022
1,Kansas,1,2022
16,Texas Southern,0,2022
8,San Diego St,0,2022
9,Creighton,1,2022
5,Iowa,0,2022
12,Richmond,1,2022
4,Providence,1,2022
13,S Dakota St,0,2022
6,LSU,0,2022
11,Iowa State,1,2022
3,Wisconsin,1,2022
14,Colgate,0,2022
7,USC,0,2022
10,Miami,1,2022
2,Auburn,1,2022
15,Jax State,0,2022
1,Gonzaga,1,2022
9,Memphis,0,2022
12,New Mexico St,0,2022
4,Arkansas,1,2022
11,Notre Dame,0,2022
3,Texas Tech,1,2022
7,Michigan St,0,2022
2,Duke,1,2022
1,Baylor,0,2022
8,North Carolina,1,2022
5,Saint Mary's,0,2022
4,UCLA,1,2022
6,Texas,0,2022
3,Purdue,1,2022
7,Murray St,0,2022
15,Saint Peter's,1,2022
1,Arizona,1,2022
9,TCU,0,2022
5,Houston,1,2022
4,Illinois,0,2022
11,Michigan,1,2022
3,Tennessee,0,2022
7,Ohio State,0,2022
2,Villanova,1,2022
1,Kansas,1,2022
9,Creighton,0,2022
12,Richmond,0,2022
4,Providence,1,2022
11,Iowa State,1,2022
3,Wisconsin,0,2022
10,Miami,1,2022
2,Auburn,0,2022
1,Gonzaga,0,2022
4,Arkansas,1,2022
3,Texas Tech,0,2022
2,Duke,1,2022
8,North Carolina,1,2022
4,UCLA,0,2022
3,Purdue,0,2022
15,Saint Peter's,1,2022
1,Arizona,0,2022
5,Houston,1,2022
11,Michigan,0,2022
2,Villanova,1,2022
1,Kansas,1,2022
4,Providence,0,2022
11,Iowa State,0,2022
10,Miami,1,2022
4,Arkansas,0,2022
2,Duke,1,2022
8,North Carolina,1,2022
15,Saint Peter's,0,2022
5,Houston,0,2022
2,Villanova,1,2022
1,Kansas,1,2022
10,Miami,0,2022
2,Duke,0,2022
8,North Carolina,1,2022
2,Villanova,0,2022
1,Kansas,1,2022
8,North Carolina,0,2022
1,Kansas,1,2022
1,Kansas,,2022
1,Alabama,1,2023
16,Texas A&M-CC,0,2023
8,Maryland,1,2023
9,West Virginia,0,2023
5,San Diego St,1,2023
12,Charleston,0,2023
4,Virginia,0,2023
13,Furman,1,2023
6,Creighton,1,2023
11,NC State,0,2023
3,Baylor,1,2023
14,Santa Barbara,0,2023
7,Missouri,1,2023
10,Utah State,0,2023
2,Arizona,0,2023
15,Princeton,1,2023
1,Purdue,0,2023
16,Fair Dickinson,1,2023
8,Memphis,0,2023
9,FAU,1,2023
5,Duke,1,2023
12,Oral Roberts,0,2023
4,Tennessee,1,2023
13,Louisiana,0,2023
6,Kentucky,1,2023
11,Providence,0,2023
3,Kansas St,1,2023
14,Montana St,0,2023
7,Michigan St,1,2023
10,USC,0,2023
2,Marquette,1,2023
15,Vermont,0,2023
1,Houston,1,2023
16,N Kentucky,0,2023
8,Iowa,0,2023
9,Auburn,1,2023
5,Miami,1,2023
12,Drake,0,2023
4,Indiana,1,2023
13,Kent State,0,2023
6,Iowa State,0,2023
11,Pitt,1,2023
3,Xavier,1,2023
14,Kennesaw St,0,2023
7,Texas A&M,0,2023
10,Penn State,1,2023
2,Texas,1,2023
15,Colgate,0,2023
1,Kansas,1,2023
16,Howard,0,2023
8,Arkansas,1,2023
9,Illinois,0,2023
5,Saint Mary's,1,2023
12,VCU,0,2023
4,UConn,1,2023
13,Iona,0,2023
6,TCU,1,2023
11,Arizona St,0,2023
3,Gonzaga,1,2023
14,Grand Canyon,0,2023
7,Northwestern,1,2023
10,Boise St,0,2023
2,UCLA,1,2023
15,UNC Asheville,0,2023
1,Alabama,1,2023
8,Maryland,0,2023
5,San Diego St,1,2023
13,Furman,0,2023
6,Creighton,1,2023
3,Baylor,0,2023
7,Missouri,0,2023
15,Princeton,1,2023
16,Fair Dickinson,0,2023
9,FAU,1,2023
5,Duke,0,2023
4,Tennessee,1,2023
6,Kentucky,0,2023
3,Kansas St,1,2023
7,Michigan St,1,2023
2,Marquette,0,2023
1,Houston,1,2023
9,Auburn,0,2023
5,Miami,1,2023
4,Indiana,0,2023
11,Pitt,0,2023
3,Xavier,1,2023
10,Penn State,0,2023
2,Texas,1,2023
1,Kansas,0,2023
8,Arkansas,1,2023
5,Saint Mary's,0,2023
4,UConn,1,2023
6,TCU,0,2023
3,Gonzaga,1,2023
7,Northwestern,0,2023
2,UCLA,1,2023
1,Alabama,0,2023
5,San Diego St,1,2023
6,Creighton,1,2023
15,Princeton,0,2023
9,FAU,1,2023
4,Tennessee,0,2023
3,Kansas St,1,2023
7,Michigan St,0,2023
1,Houston,0,2023
5,Miami,1,2023
3,Xavier,0,2023
2,Texas,1,2023
8,Arkansas,0,2023
4,UConn,1,2023
3,Gonzaga,1,2023
2,UCLA,0,2023
5,San Diego St,1,2023
6,Creighton,0,2023
9,FAU,1,2023
3,Kansas St,0,2023
5,Miami,1,2023
2,Texas,0,2023
4,UConn,1,2023
3,Gonzaga,0,2023
5,San Diego St,1,2023
9,FAU,0,2023
5,Miami,0,2023
4,UConn,1,2023
5,San Diego St,0,2023
4,UConn,1,2023
4,UConn,,2023
1,UConn,1,2024
16,Stetson,0,2024
8,FAU,0,2024
9,Northwestern,1,2024
5,San Diego St,1,2024
12,UAB,0,2024
4,Auburn,0,2024
13,Yale,1,2024
6,BYU,0,2024
11,Duquesne,1,2024
3,Illinois,1,2024
14,Morehead St,0,2024
7,Washington St,1,2024
10,Drake,0,2024
2,Iowa State,1,2024
15,S Dakota St,0,2024
1,North Carolina,1,2024
16,Wagner,0,2024
8,Mississippi St,0,2024
9,Michigan St,1,2024
5,Saint Mary's,0,2024
12,Grand Canyon,1,2024
4,Alabama,1,2024
13,Charleston,0,2024
6,Clemson,1,2024
11,New Mexico,0,2024
3,Baylor,1,2024
14,Colgate,0,2024
7,Dayton,1,2024
10,Nevada,0,2024
2,Arizona,1,2024
15,Long Beach St,0,2024
1,Houston,1,2024
16,Longwood,0,2024
8,Nebraska,0,2024
9,Texas A&M,1,2024
5,Wisconsin,0,2024
12,James Madison,1,2024
4,Duke,1,2024
13,Vermont,0,2024
6,Texas Tech,0,2024
11,NC State,1,2024
3,Kentucky,0,2024
14,Oakland,1,2024
7,Florida,0,2024
10,Colorado,1,2024
2,Marquette,1,2024
15,Western KY,0,2024
1,Purdue,1,2024
16,Grambling,0,2024
8,Utah State,1,2024
9,TCU,0,2024
5,Gonzaga,1,2024
12,McNeese,0,2024
4,Kansas,1,2024
13,Samford,0,2024
6,South Carolina,0,2024
11,Oregon,1,2024
3,Creighton,1,2024
14,Akron,0,2024
7,Texas,1,2024
10,Colorado St,0,2024
2,Tennessee,1,2024
15,Saint Peter's,0,2024
1,UConn,1,2024
9,Northwestern,0,2024
5,San Diego St,1,2024
13,Yale,0,2024
11,Duquesne,0,2024
3,Illinois,1,2024
7,Washington St,0,2024
2,Iowa State,1,2024
1,North Carolina,1,2024
9,Michigan St,0,2024
12,Grand Canyon,0,2024
4,Alabama,1,2024
6,Clemson,1,2024
3,Baylor,0,2024
7,Dayton,0,2024
2,Arizona,1,2024
1,Houston,1,2024
9,Texas A&M,0,2024
12,James Madison,0,2024
4,Duke,1,2024
11,NC State,1,2024
14,Oakland,0,2024
10,Colorado,0,2024
2,Marquette,1,2024
1,Purdue,1,2024
8,Utah State,0,2024
5,Gonzaga,1,2024
4,Kansas,0,2024
11,Oregon,0,2024
3,Creighton,1,2024
7,Texas,0,2024
2,Tennessee,1,2024
1,UConn,1,2024
5,San Diego St,0,2024
3,Illinois,1,2024
2,Iowa State,0,2024
1,North Carolina,0,2024
4,Alabama,1,2024
6,Clemson,1,2024
2,Arizona,0,2024
1,Houston,0,2024
4,Duke,1,2024
11,NC State,1,2024
2,Marquette,0,2024
1,Purdue,1,2024
5,Gonzaga,0,2024
3,Creighton,0,2024
2,Tennessee,1,2024
1,UConn,1,2024
3,Illinois,0,2024
4,Alabama,1,2024
6,Clemson,0,2024
4,Duke,0,2024
11,NC State,1,2024
1,Purdue,1,2024
2,Tennessee,0,2024
1,UConn,1,2024
4,Alabama,0,2024
11,NC State,0,2024
1,Purdue,1,2024
1,UConn,1,2024
1,Purdue,0,2024
1,UConn,,2024
